s1_time_mean,s1_fft_mean,s1_time_std,s1_fft_std,s1_time_max,s1_fft_max,s1_time_min,s1_fft_min,s1_time_skew,s1_fft_skew,s1_time_kurtosis,s1_fft_kurtosis,s1_peak_frequency,s1_second_peak_frequency,s1_second_peak_frequency_ratio,s1_third_peak_frequency,s1_third_peak_frequency_ration,s1_mean_frequency,s2_time_mean,s2_fft_mean,s2_time_std,s2_fft_std,s2_time_max,s2_fft_max,s2_time_min,s2_fft_min,s2_time_skew,s2_fft_skew,s2_time_kurtosis,s2_fft_kurtosis,s2_peak_frequency,s2_second_peak_frequency,s2_second_peak_frequency_ratio,s2_third_peak_frequency,s2_third_peak_frequency_ration,s2_mean_frequency,s3_time_mean,s3_fft_mean,s3_time_std,s3_fft_std,s3_time_max,s3_fft_max,s3_time_min,s3_fft_min,s3_time_skew,s3_fft_skew,s3_time_kurtosis,s3_fft_kurtosis,s3_peak_frequency,s3_second_peak_frequency,s3_second_peak_frequency_ratio,s3_third_peak_frequency,s3_third_peak_frequency_ration,s3_mean_frequency,acc_x_time_mean,acc_x_fft_mean,acc_x_time_std,acc_x_fft_std,acc_x_time_max,acc_x_fft_max,acc_x_time_min,acc_x_fft_min,acc_x_time_skew,acc_x_fft_skew,acc_x_time_kurtosis,acc_x_fft_kurtosis,acc_x_peak_frequency,acc_x_second_peak_frequency,acc_x_second_peak_frequency_ratio,acc_x_third_peak_frequency,acc_x_third_peak_frequency_ration,acc_x_mean_frequency,acc_y_time_mean,acc_y_fft_mean,acc_y_time_std,acc_y_fft_std,acc_y_time_max,acc_y_fft_max,acc_y_time_min,acc_y_fft_min,acc_y_time_skew,acc_y_fft_skew,acc_y_time_kurtosis,acc_y_fft_kurtosis,acc_y_peak_frequency,acc_y_second_peak_frequency,acc_y_second_peak_frequency_ratio,acc_y_third_peak_frequency,acc_y_third_peak_frequency_ration,acc_y_mean_frequency,acc_z_time_mean,acc_z_fft_mean,acc_z_time_std,acc_z_fft_std,acc_z_time_max,acc_z_fft_max,acc_z_time_min,acc_z_fft_min,acc_z_time_skew,acc_z_fft_skew,acc_z_time_kurtosis,acc_z_fft_kurtosis,acc_z_peak_frequency,acc_z_second_peak_frequency,acc_z_second_peak_frequency_ratio,acc_z_third_peak_frequency,acc_z_third_peak_frequency_ration,acc_z_mean_frequency,gyro_x_time_mean,gyro_x_fft_mean,gyro_x_time_std,gyro_x_fft_std,gyro_x_time_max,gyro_x_fft_max,gyro_x_time_min,gyro_x_fft_min,gyro_x_time_skew,gyro_x_fft_skew,gyro_x_time_kurtosis,gyro_x_fft_kurtosis,gyro_x_peak_frequency,gyro_x_second_peak_frequency,gyro_x_second_peak_frequency_ratio,gyro_x_third_peak_frequency,gyro_x_third_peak_frequency_ration,gyro_x_mean_frequency,gyro_y_time_mean,gyro_y_fft_mean,gyro_y_time_std,gyro_y_fft_std,gyro_y_time_max,gyro_y_fft_max,gyro_y_time_min,gyro_y_fft_min,gyro_y_time_skew,gyro_y_fft_skew,gyro_y_time_kurtosis,gyro_y_fft_kurtosis,gyro_y_peak_frequency,gyro_y_second_peak_frequency,gyro_y_second_peak_frequency_ratio,gyro_y_third_peak_frequency,gyro_y_third_peak_frequency_ration,gyro_y_mean_frequency,gyro_z_time_mean,gyro_z_fft_mean,gyro_z_time_std,gyro_z_fft_std,gyro_z_time_max,gyro_z_fft_max,gyro_z_time_min,gyro_z_fft_min,gyro_z_time_skew,gyro_z_fft_skew,gyro_z_time_kurtosis,gyro_z_fft_kurtosis,gyro_z_peak_frequency,gyro_z_second_peak_frequency,gyro_z_second_peak_frequency_ratio,gyro_z_third_peak_frequency,gyro_z_third_peak_frequency_ratio,gyro_z_mean_frequency,class,subject_id,subject_weight,balance_feature,balance
0.515,0.048,0.217,0.18,1.0,0.934,0.0,0.0,0.179,4.031,0.324,15.07,0.504,0.336,0.89,0.672,0.655,0.565,0.384,0.046,0.212,0.21,0.979,1.55,0.0,0.0,0.265,6.488,-0.489,42.87,0.168,0.336,0.297,0.672,0.102,0.492,0.668,0.046,0.212,0.195,1.0,1.416,0.0,0.0,-0.513,6.195,0.321,39.678,0.168,0.504,0.315,0.336,0.218,0.66,0.408,0.04,0.198,0.093,1.0,0.629,0.0,0.0,0.289,5.007,-0.131,26.777,0.168,3.025,0.538,1.008,0.283,2.68,0.409,0.054,0.229,0.317,1.0,2.44,0.0,0.0,0.442,7.35,-0.535,52.348,0.168,0.504,0.063,1.008,0.033,0.626,0.604,0.047,0.214,0.126,1.0,0.839,0.0,0.0,-0.633,4.846,-0.241,25.526,0.168,0.672,0.457,3.025,0.395,1.787,0.527,0.038,0.192,0.064,1.0,0.382,0.0,0.0,0.056,3.414,0.052,13.28,0.672,0.504,0.552,0.168,0.482,2.646,0.47,0.038,0.191,0.106,1.0,0.706,0.0,0.0,0.131,4.682,0.141,24.876,0.672,1.008,0.356,0.504,0.328,1.224,0.592,0.033,0.179,0.089,1.0,0.429,0.0,0.0,-0.223,3.287,0.736,10.027,0.168,0.504,0.895,1.008,0.728,0.893,press_up,13,40,右,3.5
0.512,0.084,0.287,0.493,1.0,3.773,0.0,0.0,-0.109,7.24,-1.416,51.219,0.168,0.504,0.095,0.672,0.066,0.412,0.621,0.091,0.298,0.543,1.0,4.138,0.0,0.0,-0.599,7.152,-0.938,50.228,0.168,0.336,0.151,0.504,0.056,0.283,0.374,0.075,0.27,0.407,1.0,3.06,0.0,0.0,0.701,6.823,-0.384,46.687,0.168,0.504,0.193,0.336,0.16,0.305,0.797,0.009,0.093,0.009,1.0,0.034,0.363,0.0,-0.812,1.335,2.849,1.11,5.042,6.218,0.985,0.168,0.974,4.503,0.529,0.034,0.181,0.077,1.0,0.56,0.0,0.0,-0.141,5.82,-0.153,35.618,1.176,1.513,0.416,0.168,0.181,3.204,0.274,0.017,0.13,0.021,0.955,0.116,0.0,0.0,1.152,2.831,4.896,9.123,0.168,0.504,0.723,1.513,0.626,3.677,0.392,0.043,0.205,0.066,1.0,0.376,0.0,0.001,0.409,2.973,0.096,10.223,0.168,0.336,0.598,0.672,0.499,2.506,0.593,0.042,0.202,0.103,1.0,0.701,0.0,0.0,-0.324,4.935,-0.332,27.068,0.504,1.513,0.409,0.336,0.348,1.824,0.737,0.019,0.136,0.078,1.0,0.587,0.312,0.0,-0.335,6.666,-0.229,45.178,1.176,1.513,0.216,1.345,0.136,1.526,press_up,13,40,右,3.5
0.44,0.049,0.219,0.212,1.0,1.505,0.0,0.0,0.518,5.883,-0.662,35.929,0.336,0.168,0.383,0.504,0.249,0.703,0.578,0.048,0.218,0.202,1.0,1.421,0.0,0.0,-0.266,5.77,-0.691,34.678,0.336,0.504,0.356,0.168,0.327,0.86,0.497,0.05,0.221,0.168,1.0,1.082,0.0,0.0,0.219,5.228,-0.746,26.696,0.504,0.336,0.695,0.672,0.1,1.538,0.682,0.023,0.15,0.04,1.0,0.243,0.0,0.0,-0.934,3.703,2.861,15.225,0.168,0.336,0.686,2.185,0.387,2.752,0.545,0.039,0.196,0.174,1.0,1.331,0.0,0.0,-0.07,7.015,0.492,48.938,0.168,0.84,0.12,1.008,0.104,0.986,0.437,0.042,0.204,0.075,1.0,0.547,0.0,0.0,-0.194,5.443,-0.041,33.483,0.168,9.412,0.262,0.336,0.246,3.361,0.603,0.029,0.173,0.034,1.0,0.186,0.0,0.0,-0.868,2.55,1.717,7.863,0.336,2.185,0.715,0.168,0.67,4.065,0.566,0.051,0.223,0.106,1.0,0.528,0.0,0.0,-0.353,3.244,-0.464,10.318,0.336,1.176,0.923,0.84,0.573,1.89,0.441,0.045,0.209,0.106,1.0,0.486,0.0,0.0,0.084,2.663,0.054,6.189,0.168,0.672,0.809,1.176,0.646,0.974,press_up,13,40,右,3.5
0.512,0.084,0.287,0.493,1.0,3.773,0.0,0.0,-0.109,7.24,-1.416,51.219,0.168,0.504,0.095,0.672,0.066,0.412,0.621,0.091,0.298,0.543,1.0,4.138,0.0,0.0,-0.599,7.152,-0.938,50.228,0.168,0.336,0.151,0.504,0.056,0.283,0.374,0.075,0.27,0.407,1.0,3.06,0.0,0.0,0.701,6.823,-0.384,46.687,0.168,0.504,0.193,0.336,0.16,0.305,0.797,0.009,0.093,0.009,1.0,0.034,0.363,0.0,-0.812,1.335,2.849,1.11,5.042,6.218,0.985,0.168,0.974,4.503,0.529,0.034,0.181,0.077,1.0,0.56,0.0,0.0,-0.141,5.82,-0.153,35.618,1.176,1.513,0.416,0.168,0.181,3.204,0.274,0.017,0.13,0.021,0.955,0.116,0.0,0.0,1.152,2.831,4.896,9.123,0.168,0.504,0.723,1.513,0.626,3.677,0.392,0.043,0.205,0.066,1.0,0.376,0.0,0.001,0.409,2.973,0.096,10.223,0.168,0.336,0.598,0.672,0.499,2.506,0.593,0.042,0.202,0.103,1.0,0.701,0.0,0.0,-0.324,4.935,-0.332,27.068,0.504,1.513,0.409,0.336,0.348,1.824,0.737,0.019,0.136,0.078,1.0,0.587,0.312,0.0,-0.335,6.666,-0.229,45.178,1.176,1.513,0.216,1.345,0.136,1.526,knee_extension,13,40,右,3.5
0.44,0.049,0.219,0.212,1.0,1.505,0.0,0.0,0.518,5.883,-0.662,35.929,0.336,0.168,0.383,0.504,0.249,0.703,0.578,0.048,0.218,0.202,1.0,1.421,0.0,0.0,-0.266,5.77,-0.691,34.678,0.336,0.504,0.356,0.168,0.327,0.86,0.497,0.05,0.221,0.168,1.0,1.082,0.0,0.0,0.219,5.228,-0.746,26.696,0.504,0.336,0.695,0.672,0.1,1.538,0.682,0.023,0.15,0.04,1.0,0.243,0.0,0.0,-0.934,3.703,2.861,15.225,0.168,0.336,0.686,2.185,0.387,2.752,0.545,0.039,0.196,0.174,1.0,1.331,0.0,0.0,-0.07,7.015,0.492,48.938,0.168,0.84,0.12,1.008,0.104,0.986,0.437,0.042,0.204,0.075,1.0,0.547,0.0,0.0,-0.194,5.443,-0.041,33.483,0.168,9.412,0.262,0.336,0.246,3.361,0.603,0.029,0.173,0.034,1.0,0.186,0.0,0.0,-0.868,2.55,1.717,7.863,0.336,2.185,0.715,0.168,0.67,4.065,0.566,0.051,0.223,0.106,1.0,0.528,0.0,0.0,-0.353,3.244,-0.464,10.318,0.336,1.176,0.923,0.84,0.573,1.89,0.441,0.045,0.209,0.106,1.0,0.486,0.0,0.0,0.084,2.663,0.054,6.189,0.168,0.672,0.809,1.176,0.646,0.974,knee_extension,13,40,右,3.5
0.428,0.07,0.262,0.291,1.0,2.02,0.0,0.0,0.581,5.695,-0.5,33.408,0.168,0.336,0.467,0.672,0.198,0.68,0.602,0.079,0.277,0.384,1.0,2.864,0.0,0.0,-0.66,6.651,-0.878,44.844,0.168,0.504,0.229,0.336,0.161,0.49,0.39,0.095,0.304,0.407,1.0,2.832,0.0,0.0,0.413,5.814,-1.086,34.1,0.168,0.504,0.499,0.84,0.08,0.777,0.52,0.048,0.217,0.064,1.0,0.327,0.0,0.0,-0.193,2.468,-0.356,6.731,0.168,1.176,0.848,0.84,0.565,2.902,0.528,0.038,0.192,0.162,1.0,1.238,0.0,0.0,-0.54,7.045,0.125,49.236,0.168,0.336,0.139,0.84,0.091,1.18,0.568,0.042,0.204,0.06,1.0,0.305,0.0,0.0,-0.122,2.735,-0.385,7.506,0.336,2.185,0.771,0.84,0.768,3.571,0.422,0.034,0.182,0.043,1.0,0.253,0.0,0.0,0.007,3.042,0.156,11.469,0.168,1.513,0.718,0.336,0.339,3.383,0.414,0.063,0.248,0.142,1.0,0.67,0.0,0.0,0.241,3.138,-0.945,8.97,1.513,0.84,0.903,0.672,0.768,1.587,0.428,0.034,0.183,0.09,1.0,0.435,0.0,0.0,0.414,3.43,0.834,11.312,0.84,0.168,0.977,1.513,0.671,1.043,knee_extension,13,40,右,3.5
0.515,0.048,0.217,0.18,1.0,0.934,0.0,0.0,0.179,4.031,0.324,15.07,0.504,0.336,0.89,0.672,0.655,0.565,0.384,0.046,0.212,0.21,0.979,1.55,0.0,0.0,0.265,6.488,-0.489,42.87,0.168,0.336,0.297,0.672,0.102,0.492,0.668,0.046,0.212,0.195,1.0,1.416,0.0,0.0,-0.513,6.195,0.321,39.678,0.168,0.504,0.315,0.336,0.218,0.66,0.408,0.04,0.198,0.093,1.0,0.629,0.0,0.0,0.289,5.007,-0.131,26.777,0.168,3.025,0.538,1.008,0.283,2.68,0.409,0.054,0.229,0.317,1.0,2.44,0.0,0.0,0.442,7.35,-0.535,52.348,0.168,0.504,0.063,1.008,0.033,0.626,0.604,0.047,0.214,0.126,1.0,0.839,0.0,0.0,-0.633,4.846,-0.241,25.526,0.168,0.672,0.457,3.025,0.395,1.787,0.527,0.038,0.192,0.064,1.0,0.382,0.0,0.0,0.056,3.414,0.052,13.28,0.672,0.504,0.552,0.168,0.482,2.646,0.47,0.038,0.191,0.106,1.0,0.706,0.0,0.0,0.131,4.682,0.141,24.876,0.672,1.008,0.356,0.504,0.328,1.224,0.592,0.033,0.179,0.089,1.0,0.429,0.0,0.0,-0.223,3.287,0.736,10.027,0.168,0.504,0.895,1.008,0.728,0.893,knee_extension,13,40,右,3.5
0.549,0.06,0.243,0.357,1.0,2.737,0.0,0.0,-0.411,7.279,-0.69,51.602,0.168,0.672,0.107,0.504,0.034,0.486,0.503,0.106,0.322,0.723,1.0,5.555,0.0,0.0,-0.179,7.387,-1.473,52.713,0.168,0.336,0.047,0.672,0.018,0.256,0.593,0.091,0.298,0.618,1.0,4.754,0.0,0.0,-0.223,7.392,-1.315,52.768,0.168,0.336,0.037,0.504,0.029,0.286,0.512,0.032,0.176,0.044,1.0,0.22,0.15,0.001,0.349,2.57,0.182,6.68,0.336,2.185,0.836,1.849,0.677,3.186,0.455,0.041,0.199,0.137,1.0,0.927,0.019,0.0,0.629,5.209,0.383,28.842,0.168,0.504,0.475,0.672,0.26,1.067,0.654,0.034,0.182,0.096,1.0,0.687,0.0,0.0,-1.082,5.753,1.725,34.726,0.168,0.336,0.434,2.185,0.127,1.755,0.434,0.033,0.18,0.048,1.0,0.245,0.0,0.0,0.195,2.549,0.028,6.533,0.168,0.504,0.706,1.008,0.619,3.146,0.51,0.051,0.223,0.123,1.0,0.694,0.0,0.0,-0.16,3.542,-0.567,13.135,0.336,0.672,0.678,1.849,0.498,1.332,0.475,0.044,0.207,0.123,1.0,0.767,0.0,0.0,0.542,4.279,0.47,19.784,0.672,0.504,0.591,0.336,0.364,1.018,knee_extension,13,40,右,3.5
0.463,0.053,0.227,0.227,1.0,1.627,0.0,0.0,0.39,5.936,-0.246,37.089,0.168,0.336,0.326,0.504,0.22,0.427,0.605,0.08,0.279,0.444,1.0,3.295,0.0,0.0,-0.319,6.688,-0.895,44.794,0.168,0.336,0.291,0.504,0.024,0.315,0.485,0.091,0.298,0.45,1.0,3.323,0.0,0.0,-0.035,6.539,-1.298,43.14,0.168,0.336,0.316,0.672,0.065,0.492,0.496,0.044,0.207,0.109,1.0,0.689,0.0,0.001,-0.037,4.588,-0.029,21.83,0.168,0.336,0.658,0.672,0.344,1.84,0.334,0.03,0.172,0.132,1.0,0.909,0.0,0.0,0.796,5.685,1.377,32.609,0.168,0.336,0.523,0.504,0.126,0.693,0.625,0.029,0.169,0.069,1.0,0.44,0.0,0.0,-0.866,4.572,1.26,21.642,0.168,0.672,0.651,0.336,0.392,1.795,0.671,0.028,0.165,0.062,1.0,0.39,0.0,0.0,-0.921,4.305,2.378,20.028,0.672,0.504,0.611,0.336,0.395,1.973,0.477,0.046,0.211,0.107,1.0,0.456,0.0,0.0,-0.018,2.684,-0.195,6.14,0.672,0.84,0.958,1.345,0.786,1.113,0.561,0.05,0.22,0.169,1.0,1.01,0.0,0.0,0.041,4.31,-0.26,18.915,0.336,0.504,0.682,0.168,0.433,0.597,knee_extension,13,40,右,3.5
0.512,0.084,0.287,0.493,1.0,3.773,0.0,0.0,-0.109,7.24,-1.416,51.219,0.168,0.504,0.095,0.672,0.066,0.412,0.621,0.091,0.298,0.543,1.0,4.138,0.0,0.0,-0.599,7.152,-0.938,50.228,0.168,0.336,0.151,0.504,0.056,0.283,0.374,0.075,0.27,0.407,1.0,3.06,0.0,0.0,0.701,6.823,-0.384,46.687,0.168,0.504,0.193,0.336,0.16,0.305,0.797,0.009,0.093,0.009,1.0,0.034,0.363,0.0,-0.812,1.335,2.849,1.11,5.042,6.218,0.985,0.168,0.974,4.503,0.529,0.034,0.181,0.077,1.0,0.56,0.0,0.0,-0.141,5.82,-0.153,35.618,1.176,1.513,0.416,0.168,0.181,3.204,0.274,0.017,0.13,0.021,0.955,0.116,0.0,0.0,1.152,2.831,4.896,9.123,0.168,0.504,0.723,1.513,0.626,3.677,0.392,0.043,0.205,0.066,1.0,0.376,0.0,0.001,0.409,2.973,0.096,10.223,0.168,0.336,0.598,0.672,0.499,2.506,0.593,0.042,0.202,0.103,1.0,0.701,0.0,0.0,-0.324,4.935,-0.332,27.068,0.504,1.513,0.409,0.336,0.348,1.824,0.737,0.019,0.136,0.078,1.0,0.587,0.312,0.0,-0.335,6.666,-0.229,45.178,1.176,1.513,0.216,1.345,0.136,1.526,abdominal_crunch,13,40,右,3.5
0.44,0.049,0.219,0.212,1.0,1.505,0.0,0.0,0.518,5.883,-0.662,35.929,0.336,0.168,0.383,0.504,0.249,0.703,0.578,0.048,0.218,0.202,1.0,1.421,0.0,0.0,-0.266,5.77,-0.691,34.678,0.336,0.504,0.356,0.168,0.327,0.86,0.497,0.05,0.221,0.168,1.0,1.082,0.0,0.0,0.219,5.228,-0.746,26.696,0.504,0.336,0.695,0.672,0.1,1.538,0.682,0.023,0.15,0.04,1.0,0.243,0.0,0.0,-0.934,3.703,2.861,15.225,0.168,0.336,0.686,2.185,0.387,2.752,0.545,0.039,0.196,0.174,1.0,1.331,0.0,0.0,-0.07,7.015,0.492,48.938,0.168,0.84,0.12,1.008,0.104,0.986,0.437,0.042,0.204,0.075,1.0,0.547,0.0,0.0,-0.194,5.443,-0.041,33.483,0.168,9.412,0.262,0.336,0.246,3.361,0.603,0.029,0.173,0.034,1.0,0.186,0.0,0.0,-0.868,2.55,1.717,7.863,0.336,2.185,0.715,0.168,0.67,4.065,0.566,0.051,0.223,0.106,1.0,0.528,0.0,0.0,-0.353,3.244,-0.464,10.318,0.336,1.176,0.923,0.84,0.573,1.89,0.441,0.045,0.209,0.106,1.0,0.486,0.0,0.0,0.084,2.663,0.054,6.189,0.168,0.672,0.809,1.176,0.646,0.974,abdominal_crunch,13,40,右,3.5
0.428,0.07,0.262,0.291,1.0,2.02,0.0,0.0,0.581,5.695,-0.5,33.408,0.168,0.336,0.467,0.672,0.198,0.68,0.602,0.079,0.277,0.384,1.0,2.864,0.0,0.0,-0.66,6.651,-0.878,44.844,0.168,0.504,0.229,0.336,0.161,0.49,0.39,0.095,0.304,0.407,1.0,2.832,0.0,0.0,0.413,5.814,-1.086,34.1,0.168,0.504,0.499,0.84,0.08,0.777,0.52,0.048,0.217,0.064,1.0,0.327,0.0,0.0,-0.193,2.468,-0.356,6.731,0.168,1.176,0.848,0.84,0.565,2.902,0.528,0.038,0.192,0.162,1.0,1.238,0.0,0.0,-0.54,7.045,0.125,49.236,0.168,0.336,0.139,0.84,0.091,1.18,0.568,0.042,0.204,0.06,1.0,0.305,0.0,0.0,-0.122,2.735,-0.385,7.506,0.336,2.185,0.771,0.84,0.768,3.571,0.422,0.034,0.182,0.043,1.0,0.253,0.0,0.0,0.007,3.042,0.156,11.469,0.168,1.513,0.718,0.336,0.339,3.383,0.414,0.063,0.248,0.142,1.0,0.67,0.0,0.0,0.241,3.138,-0.945,8.97,1.513,0.84,0.903,0.672,0.768,1.587,0.428,0.034,0.183,0.09,1.0,0.435,0.0,0.0,0.414,3.43,0.834,11.312,0.84,0.168,0.977,1.513,0.671,1.043,abdominal_crunch,13,40,右,3.5
0.515,0.048,0.217,0.18,1.0,0.934,0.0,0.0,0.179,4.031,0.324,15.07,0.504,0.336,0.89,0.672,0.655,0.565,0.384,0.046,0.212,0.21,0.979,1.55,0.0,0.0,0.265,6.488,-0.489,42.87,0.168,0.336,0.297,0.672,0.102,0.492,0.668,0.046,0.212,0.195,1.0,1.416,0.0,0.0,-0.513,6.195,0.321,39.678,0.168,0.504,0.315,0.336,0.218,0.66,0.408,0.04,0.198,0.093,1.0,0.629,0.0,0.0,0.289,5.007,-0.131,26.777,0.168,3.025,0.538,1.008,0.283,2.68,0.409,0.054,0.229,0.317,1.0,2.44,0.0,0.0,0.442,7.35,-0.535,52.348,0.168,0.504,0.063,1.008,0.033,0.626,0.604,0.047,0.214,0.126,1.0,0.839,0.0,0.0,-0.633,4.846,-0.241,25.526,0.168,0.672,0.457,3.025,0.395,1.787,0.527,0.038,0.192,0.064,1.0,0.382,0.0,0.0,0.056,3.414,0.052,13.28,0.672,0.504,0.552,0.168,0.482,2.646,0.47,0.038,0.191,0.106,1.0,0.706,0.0,0.0,0.131,4.682,0.141,24.876,0.672,1.008,0.356,0.504,0.328,1.224,0.592,0.033,0.179,0.089,1.0,0.429,0.0,0.0,-0.223,3.287,0.736,10.027,0.168,0.504,0.895,1.008,0.728,0.893,abdominal_crunch,13,40,右,3.5
0.549,0.06,0.243,0.357,1.0,2.737,0.0,0.0,-0.411,7.279,-0.69,51.602,0.168,0.672,0.107,0.504,0.034,0.486,0.503,0.106,0.322,0.723,1.0,5.555,0.0,0.0,-0.179,7.387,-1.473,52.713,0.168,0.336,0.047,0.672,0.018,0.256,0.593,0.091,0.298,0.618,1.0,4.754,0.0,0.0,-0.223,7.392,-1.315,52.768,0.168,0.336,0.037,0.504,0.029,0.286,0.512,0.032,0.176,0.044,1.0,0.22,0.15,0.001,0.349,2.57,0.182,6.68,0.336,2.185,0.836,1.849,0.677,3.186,0.455,0.041,0.199,0.137,1.0,0.927,0.019,0.0,0.629,5.209,0.383,28.842,0.168,0.504,0.475,0.672,0.26,1.067,0.654,0.034,0.182,0.096,1.0,0.687,0.0,0.0,-1.082,5.753,1.725,34.726,0.168,0.336,0.434,2.185,0.127,1.755,0.434,0.033,0.18,0.048,1.0,0.245,0.0,0.0,0.195,2.549,0.028,6.533,0.168,0.504,0.706,1.008,0.619,3.146,0.51,0.051,0.223,0.123,1.0,0.694,0.0,0.0,-0.16,3.542,-0.567,13.135,0.336,0.672,0.678,1.849,0.498,1.332,0.475,0.044,0.207,0.123,1.0,0.767,0.0,0.0,0.542,4.279,0.47,19.784,0.672,0.504,0.591,0.336,0.364,1.018,abdominal_crunch,13,40,右,3.5
0.463,0.053,0.227,0.227,1.0,1.627,0.0,0.0,0.39,5.936,-0.246,37.089,0.168,0.336,0.326,0.504,0.22,0.427,0.605,0.08,0.279,0.444,1.0,3.295,0.0,0.0,-0.319,6.688,-0.895,44.794,0.168,0.336,0.291,0.504,0.024,0.315,0.485,0.091,0.298,0.45,1.0,3.323,0.0,0.0,-0.035,6.539,-1.298,43.14,0.168,0.336,0.316,0.672,0.065,0.492,0.496,0.044,0.207,0.109,1.0,0.689,0.0,0.001,-0.037,4.588,-0.029,21.83,0.168,0.336,0.658,0.672,0.344,1.84,0.334,0.03,0.172,0.132,1.0,0.909,0.0,0.0,0.796,5.685,1.377,32.609,0.168,0.336,0.523,0.504,0.126,0.693,0.625,0.029,0.169,0.069,1.0,0.44,0.0,0.0,-0.866,4.572,1.26,21.642,0.168,0.672,0.651,0.336,0.392,1.795,0.671,0.028,0.165,0.062,1.0,0.39,0.0,0.0,-0.921,4.305,2.378,20.028,0.672,0.504,0.611,0.336,0.395,1.973,0.477,0.046,0.211,0.107,1.0,0.456,0.0,0.0,-0.018,2.684,-0.195,6.14,0.672,0.84,0.958,1.345,0.786,1.113,0.561,0.05,0.22,0.169,1.0,1.01,0.0,0.0,0.041,4.31,-0.26,18.915,0.336,0.504,0.682,0.168,0.433,0.597,abdominal_crunch,13,40,右,3.5
0.512,0.084,0.287,0.493,1.0,3.773,0.0,0.0,-0.109,7.24,-1.416,51.219,0.168,0.504,0.095,0.672,0.066,0.412,0.621,0.091,0.298,0.543,1.0,4.138,0.0,0.0,-0.599,7.152,-0.938,50.228,0.168,0.336,0.151,0.504,0.056,0.283,0.374,0.075,0.27,0.407,1.0,3.06,0.0,0.0,0.701,6.823,-0.384,46.687,0.168,0.504,0.193,0.336,0.16,0.305,0.797,0.009,0.093,0.009,1.0,0.034,0.363,0.0,-0.812,1.335,2.849,1.11,5.042,6.218,0.985,0.168,0.974,4.503,0.529,0.034,0.181,0.077,1.0,0.56,0.0,0.0,-0.141,5.82,-0.153,35.618,1.176,1.513,0.416,0.168,0.181,3.204,0.274,0.017,0.13,0.021,0.955,0.116,0.0,0.0,1.152,2.831,4.896,9.123,0.168,0.504,0.723,1.513,0.626,3.677,0.392,0.043,0.205,0.066,1.0,0.376,0.0,0.001,0.409,2.973,0.096,10.223,0.168,0.336,0.598,0.672,0.499,2.506,0.593,0.042,0.202,0.103,1.0,0.701,0.0,0.0,-0.324,4.935,-0.332,27.068,0.504,1.513,0.409,0.336,0.348,1.824,0.737,0.019,0.136,0.078,1.0,0.587,0.312,0.0,-0.335,6.666,-0.229,45.178,1.176,1.513,0.216,1.345,0.136,1.526,hamstring_curl,13,40,右,3.5
0.44,0.049,0.219,0.212,1.0,1.505,0.0,0.0,0.518,5.883,-0.662,35.929,0.336,0.168,0.383,0.504,0.249,0.703,0.578,0.048,0.218,0.202,1.0,1.421,0.0,0.0,-0.266,5.77,-0.691,34.678,0.336,0.504,0.356,0.168,0.327,0.86,0.497,0.05,0.221,0.168,1.0,1.082,0.0,0.0,0.219,5.228,-0.746,26.696,0.504,0.336,0.695,0.672,0.1,1.538,0.682,0.023,0.15,0.04,1.0,0.243,0.0,0.0,-0.934,3.703,2.861,15.225,0.168,0.336,0.686,2.185,0.387,2.752,0.545,0.039,0.196,0.174,1.0,1.331,0.0,0.0,-0.07,7.015,0.492,48.938,0.168,0.84,0.12,1.008,0.104,0.986,0.437,0.042,0.204,0.075,1.0,0.547,0.0,0.0,-0.194,5.443,-0.041,33.483,0.168,9.412,0.262,0.336,0.246,3.361,0.603,0.029,0.173,0.034,1.0,0.186,0.0,0.0,-0.868,2.55,1.717,7.863,0.336,2.185,0.715,0.168,0.67,4.065,0.566,0.051,0.223,0.106,1.0,0.528,0.0,0.0,-0.353,3.244,-0.464,10.318,0.336,1.176,0.923,0.84,0.573,1.89,0.441,0.045,0.209,0.106,1.0,0.486,0.0,0.0,0.084,2.663,0.054,6.189,0.168,0.672,0.809,1.176,0.646,0.974,hamstring_curl,13,40,右,3.5
